,0
0,-7.69 3.68 -0.97 0.537
1,-10.42 2.50 -1.13 -0.293
2,-9.88 4.58 -1.20 -1.514
3,-10.15 4.13 -1.04 -0.488
4,-8.13 1.01 -1.09 0.732
5,-8.17 3.80 -0.78 0.342
6,-10.55 1.92 -1.09 -0.879
7,-9.77 6.27 -1.08 -1.172
8,-9.67 3.89 -0.88 -0.098
9,-7.61 1.67 -1.04 1.074
10,-8.81 3.42 -0.86 0.098
11,-10.71 1.32 -1.43 -1.074
12,-10.04 6.35 -1.15 -0.781
13,-9.08 3.09 -0.88 0.439
14,-7.22 2.79 -0.88 0.781
15,-10.02 2.38 -1.07 -0.146
16,-10.39 2.43 -1.55 -1.416
17,-10.63 4.70 -1.12 -0.635
18,-8.23 1.45 -1.08 0.684
19,-8.14 4.10 -0.84 0.391
20,-10.17 1.68 -0.99 -0.684
21,-10.01 4.44 -1.33 -1.123
22,-10.07 4.06 -0.95 -0.244
23,-7.59 1.92 -1.11 1.123
24,-8.59 3.37 -0.82 0.098
25,-10.50 1.04 -1.33 -0.928
26,-10.19 6.05 -1.05 -0.830
27,-9.52 3.20 -1.09 0.391
28,-7.54 3.04 -1.00 0.830
29,-9.30 2.68 -0.96 -0.049
30,-10.17 2.06 -1.40 -1.367
31,-10.86 4.59 -1.21 -0.488
32,-8.89 2.24 -0.96 0.635
33,-8.01 4.26 -0.87 0.488
34,-9.91 1.52 -0.92 -0.635
35,-9.97 4.11 -1.30 -1.416
36,-11.00 4.30 -1.26 -0.342
37,-7.93 2.44 -1.11 0.928
38,-8.28 3.58 -0.86 0.195
39,-9.96 1.01 -1.22 -0.928
40,-9.82 6.26 -0.99 -1.025
41,-10.34 4.43 -0.83 0.000
42,-7.53 3.35 -0.91 1.025
43,-8.76 2.55 -0.78 0.098
44,-10.06 0.67 -1.44 -1.172
45,-10.24 5.92 -0.88 -0.781
46,-9.51 2.23 -1.18 0.391
47,-7.45 4.28 -0.87 0.635
48,-9.21 1.93 -1.03 -0.146
49,-9.93 1.75 -1.40 -1.416
50,-11.05 4.42 -1.26 -0.635
51,-8.82 2.05 -1.06 0.684
52,-7.71 4.24 -0.85 0.391
53,-9.49 1.16 -1.07 -0.635
54,-9.89 3.74 -1.32 -1.318
55,-11.33 4.05 -1.33 -0.342
56,-8.25 3.15 -1.17 1.025
57,-8.14 3.61 -0.72 0.244
58,-9.45 0.68 -1.06 -0.830
59,-9.84 5.76 -1.08 -0.830
60,-10.84 4.10 -1.11 0.049
61,-7.90 4.08 -1.03 1.025
62,-8.63 2.62 -0.75 0.000
63,-9.58 0.66 -1.43 -1.172
64,-10.23 5.64 -1.20 -0.732
65,-10.51 3.48 -0.97 0.488
66,-7.47 4.85 -0.85 0.732
67,-8.85 2.02 -0.86 -0.146
68,-9.56 1.76 -1.48 -1.465
69,-10.77 4.20 -1.08 -0.488
70,-9.60 2.22 -1.29 0.684
71,-7.74 4.47 -0.88 0.391
72,-8.80 1.19 -0.85 -0.732
73,-9.61 3.50 -1.16 -1.270
74,-11.17 3.76 -1.20 -0.293
75,-8.86 3.36 -1.19 0.977
76,-8.15 3.48 -0.92 0.146
77,-9.15 0.44 -1.21 -0.977
78,-9.74 5.31 -1.13 -0.879
79,-11.21 3.78 -1.27 0.146
80,-8.13 4.67 -0.90 0.928
81,-8.37 2.85 -0.83 0.049
82,-9.08 0.57 -1.19 -1.221
83,-10.16 5.37 -1.06 -0.684
84,-10.47 2.49 -1.22 0.488
85,-8.05 5.55 -0.86 0.586
86,-8.21 2.19 -0.69 -0.293
87,-9.07 1.54 -1.22 -1.465
88,-10.70 4.13 -1.20 -0.439
89,-10.09 2.37 -1.44 0.781
90,-8.08 4.77 -0.86 0.293
91,-8.51 1.14 -0.93 -0.781
92,-9.30 3.34 -1.18 -1.123
93,-11.08 3.56 -1.10 -0.146
94,-9.35 3.69 -1.25 1.074
95,-8.46 3.58 -0.94 0.098
96,-8.40 0.41 -1.11 -1.074
97,-10.12 5.05 -1.06 -0.781
98,-11.00 2.92 -1.27 0.439
99,-8.77 5.22 -0.97 0.732
100,-8.54 2.99 -0.87 -0.195
101,-8.71 1.22 -1.21 -1.318
102,-10.76 4.10 -1.28 -0.635
103,-10.61 2.30 -1.55 0.586
104,-8.49 6.06 -0.79 0.488
105,-8.27 1.29 -0.92 -0.586
106,-8.97 3.12 -1.23 -1.416
107,-11.05 3.42 -1.20 -0.439
108,-10.27 2.22 -1.39 0.879
109,-8.95 3.89 -0.86 0.244
110,-8.17 0.61 -1.05 -0.928
111,-9.13 4.79 -1.02 -0.928
