,0
0,9-9.14 1.79 -1.72 -1.074
1,-13.53 1.90 -1.55 -0.928
2,-13.93 5.24 -0.63 -0.293
3,-10.70 3.42 -0.67 0.879
4,-5.73 5.36 -0.67 0.342
5,-4.14 1.03 -1.29 -0.732
6,-7.26 0.83 -1.94 -1.514
7,-13.11 2.91 -1.73 -0.586
8,-13.25 4.96 -0.81 0.537
9,-11.27 6.53 -0.44 0.488
10,-8.85 5.59 -0.49 -0.146
11,-2.18 2.85 -0.96 -1.172
12,-8.26 -1.98 -2.12 -0.781
13,-12.41 -0.63 -2.08 0.000
14,-13.36 1.81 -1.48 0.977
15,-12.43 6.71 -0.23 0.244
16,-8.71 4.65 -0.44 -0.977
17,-4.52 3.03 -0.97 -0.879
18,-7.46 -0.45 -1.52 0.000
19,-9.81 1.88 -1.69 0.977
20,-13.31 5.04 -1.13 0.049
21,-11.40 3.22 -1.24 -1.123
22,-9.14 5.10 -0.73 -0.781
23,-4.69 3.14 -0.46 0.488
24,-8.73 0.53 -1.61 0.586
25,-11.10 3.09 -1.40 -0.244
26,-12.00 1.58 -1.74 -1.416
27,-13.06 5.06 -1.09 -0.439
28,-6.41 2.69 -0.88 0.635
29,-4.96 2.13 -1.04 0.391
30,-8.22 0.29 -1.72 -0.928
31,-11.28 0.83 -1.85 -1.123
32,-13.65 4.21 -0.68 -0.146
33,-11.11 3.25 -0.92 1.025
34,-6.20 4.37 -0.67 0.049
35,-2.70 2.35 -0.94 -1.123
36,-12.07 -1.01 -2.24 -0.732
37,-13.93 3.10 -1.26 0.293
38,-11.86 7.92 -0.16 0.586
39,-8.65 6.30 -0.41 -0.391
40,-2.27 3.08 -0.95 -1.562
41,-8.00 -2.13 -2.21 -0.586
42,-11.80 3.82 -1.47 0.684
43,-13.43 7.82 -0.32 0.195
44,-10.57 7.19 0.04 -0.879
45,-5.15 4.52 -0.81 -1.074
46,-6.05 0.09 -1.44 -0.244
47,-9.11 1.09 -1.63 1.074
48,-12.65 4.87 -1.07 0.098
49,-12.02 5.81 -0.72 -1.074
50,-10.41 5.34 -0.88 -0.732
51,-5.55 3.74 -0.53 0.439
52,-5.45 0.61 -1.08 0.781
53,-10.49 1.67 -1.49 -0.244
54,-12.07 1.65 -1.88 -1.514
55,-12.88 5.68 -1.07 -0.635
56,-8.27 2.24 -1.02 0.732
57,-5.04 2.79 -0.69 0.391
58,-7.39 0.13 -1.50 -0.732
59,-9.95 1.20 -1.89 -1.270
60,-13.08 4.54 -0.88 -0.391
61,-11.87 3.66 -0.90 0.977
62,-8.20 5.04 -0.51 0.049
63,-3.20 2.80 -0.94 -1.123
64,-9.25 -1.92 -2.33 -0.928
65,-12.94 2.69 -1.47 0.195
66,-12.32 5.21 -0.61 0.781
67,-11.20 6.35 -0.08 -0.049
68,-3.24 3.40 -0.82 -1.416
69,-8.07 -1.81 -2.16 -0.781
70,-10.38 1.80 -1.94 0.684
71,-13.17 6.48 -0.60 0.342
72,-10.33 7.45 0.11 -0.732
73,-6.36 4.00 -0.57 -1.221
74,-6.04 0.77 -1.24 -0.293
75,-9.26 0.89 -1.95 0.977
76,-12.56 4.59 -1.49 0.146
77,-11.34 6.18 -0.62 -0.928
