,0
0,0.22 0.11 -10.09 -0.342
1,0.23 0.18 -10.17 -0.391
2,0.22 0.11 -10.05 -0.342
3,0.18 0.14 -10.00 -0.391
4,0.22 0.10 -10.01 -0.391
5,0.20 0.12 -9.91 -0.391
6,0.25 0.04 -9.85 -0.342
7,0.19 0.00 -9.80 -0.439
8,0.22 0.06 -9.69 -0.439
9,0.21 0.05 -9.71 -0.342
10,0.24 0.05 -9.64 -0.439
11,0.26 -0.01 -9.64 -0.391
12,0.23 -0.03 -9.60 -0.293
13,0.29 -0.03 -9.69 -0.439
14,0.24 0.06 -9.66 -0.439
15,0.17 -0.01 -9.69 -0.439
16,0.31 0.01 -9.66 -0.391
17,0.22 0.05 -9.64 -0.342
18,0.28 0.07 -9.69 -0.391
19,0.21 0.06 -9.74 -0.439
20,0.22 0.01 -9.69 -0.439
21,0.24 0.08 -9.82 -0.439
22,0.29 0.11 -9.83 -0.391
23,0.24 0.14 -9.94 -0.439
24,0.21 0.12 -9.95 -0.391
25,0.30 0.11 -9.95 -0.342
26,0.23 0.05 -9.93 -0.439
27,0.20 0.09 -10.05 -0.439
28,0.23 0.07 -9.98 -0.293
29,0.25 0.06 -10.00 -0.439
30,0.26 0.06 -9.95 -0.439
31,0.21 0.06 -9.88 -0.391
32,0.24 0.09 -9.89 -0.439
33,0.21 0.07 -9.78 -0.391
34,0.25 0.13 -9.89 -0.439
35,0.23 0.07 -9.74 -0.342
36,0.25 0.06 -9.84 -0.439
37,0.32 0.03 -9.77 -0.391
38,0.31 0.00 -9.78 -0.488
39,0.22 0.01 -9.65 -0.439
40,0.29 -0.01 -9.71 -0.391
41,0.29 0.00 -9.71 -0.439
42,0.28 0.00 -9.67 -0.342
43,0.24 0.07 -9.72 -0.439
44,0.23 0.01 -9.70 -0.391
45,0.20 0.02 -9.72 -0.342
46,0.32 0.07 -9.77 -0.342
47,0.25 0.13 -9.80 -0.342
48,0.25 0.19 -9.85 -0.293
49,0.27 0.11 -9.92 -0.391
50,0.22 0.10 -9.84 -0.439
51,0.27 0.10 -9.85 -0.342
52,0.23 0.11 -9.97 -0.342
53,0.22 0.06 -9.90 -0.391
54,0.17 0.12 -10.01 -0.293
55,0.25 0.12 -9.97 -0.391
56,0.24 0.13 -9.93 -0.391
57,0.25 0.09 -9.83 -0.439
58,0.26 0.07 -9.88 -0.439
59,0.26 0.03 -9.90 -0.439
60,0.27 0.15 -9.85 -0.293
61,0.23 0.04 -9.85 -0.391
62,0.24 0.02 -9.74 -0.293
63,0.25 -0.00 -9.78 -0.342
64,0.25 0.04 -9.75 -0.391
65,0.19 -0.04 -9.82 -0.391
66,0.28 0.06 -9.68 -0.391
67,0.23 0.06 -9.74 -0.391
68,0.25 0.13 -9.69 -0.342
69,0.25 0.12 -9.75 -0.342
70,0.23 0.10 -9.76 -0.342
71,0.20 0.04 -9.82 -0.342
72,0.20 0.04 -9.76 -0.391
73,0.26 0.08 -9.84 -0.439
74,0.27 0.06 -9.86 -0.342
75,0.22 0.09 -9.86 -0.391
76,0.18 0.07 -9.94 -0.391
77,0.25 0.10 -9.87 -0.391
