,0
0,0.57 0.18 -10.45 -1.123
1,-0.57 0.42 -10.41 -0.244
2,0.82 -0.25 -10.43 0.781
3,0.11 0.01 -8.26 -0.098
4,-0.55 0.37 -9.18 -1.074
5,1.17 0.13 -10.60 -1.904
6,-1.06 -0.33 -9.85 -0.928
7,-0.22 0.11 -10.87 0.195
8,2.23 0.93 -10.17 0.244
9,-0.33 0.45 -8.41 -0.439
10,-0.28 -0.48 -10.15 -1.514
11,0.77 0.23 -10.44 -1.221
12,-0.95 0.21 -9.96 -0.586
13,0.74 -0.30 -10.60 0.684
14,0.23 0.10 -8.24 0.000
15,-0.41 0.38 -8.73 -1.123
16,1.09 -0.08 -10.14 -1.904
17,-0.71 -0.47 -9.49 -0.928
18,-0.25 0.09 -10.66 0.098
19,2.23 0.77 -10.22 0.488
20,-0.13 0.13 -8.17 -0.293
21,-0.21 -0.47 -9.71 -1.465
22,1.74 0.52 -10.54 -1.367
23,-1.00 0.17 -9.98 -0.732
24,0.58 -0.40 -10.71 0.439
25,1.47 0.38 -9.81 -0.049
26,-0.29 0.50 -8.63 -0.879
27,0.23 -0.45 -10.01 -1.953
28,-0.57 -0.35 -9.66 -1.074
29,-0.46 0.02 -10.89 0.000
30,1.42 0.16 -10.66 0.684
31,-0.06 0.16 -8.42 -0.293
32,-0.36 0.09 -9.32 -1.367
33,1.80 0.50 -10.45 -1.611
34,-1.06 0.09 -10.03 -0.781
35,-0.18 -0.28 -11.03 0.195
36,1.52 0.54 -10.04 0.098
37,-0.15 0.54 -8.87 -0.635
38,0.37 -0.38 -9.77 -1.807
39,-0.39 -0.33 -9.33 -1.025
40,-0.85 0.22 -10.43 -0.098
41,1.22 0.02 -10.60 0.830
42,-0.15 0.08 -8.37 -0.146
43,-0.22 0.27 -9.11 -1.270
44,1.84 0.51 -9.88 -1.709
45,-1.08 -0.42 -9.22 -0.928
46,-0.32 -0.35 -11.00 0.195
47,1.50 0.41 -10.16 0.146
48,-0.09 0.41 -8.59 -0.439
49,0.36 -0.39 -9.68 -1.514
50,1.29 0.53 -9.87 -1.172
51,-0.88 0.16 -10.33 -0.293
52,1.06 -0.11 -10.96 0.830
53,0.45 0.11 -9.19 -0.195
54,-0.18 0.38 -9.22 -1.318
55,1.18 -0.07 -9.59 -1.953
56,-1.06 -0.33 -9.19 -0.928
57,-0.43 -0.34 -11.11 0.146
58,1.81 0.60 -10.96 0.293
59,-0.14 0.32 -8.90 -0.439
60,-0.01 -0.11 -9.62 -1.514
61,1.46 0.55 -9.78 -1.367
62,-0.99 0.12 -10.16 -0.732
63,0.24 -0.51 -11.25 0.488
64,0.33 0.05 -9.32 -0.098
65,-0.12 0.70 -9.02 -1.074
66,1.20 0.00 -9.56 -2.100
67,-0.96 -0.40 -8.82 -1.123
68,-0.73 0.06 -10.56 0.098
69,1.74 0.52 -10.98 0.488
70,-0.29 0.02 -8.79 -0.293
71,0.06 -0.15 -9.70 -1.465
72,1.62 0.54 -9.63 -1.465
73,-0.90 0.04 -9.20 -0.781
74,-0.00 -0.67 -11.18 0.439
75,1.60 0.52 -10.76 0.049
76,-0.11 0.81 -9.00 -0.781
77,1.13 -0.01 -9.65 -1.904
78,0.20 -0.13 -8.91 -1.172
79,-0.77 0.13 -10.45 -0.098
80,0.72 -0.21 -11.20 0.781
81,-0.34 -0.20 -9.05 -0.195
82,0.14 -0.00 -9.71 -1.416
83,1.93 0.58 -9.59 -1.807
84,-0.99 -0.05 -9.15 -0.879
85,-0.68 -0.38 -10.95 0.244
86,1.56 0.52 -10.97 0.098
