,0
0,-9.38 1.44 -1.53 0.586
1,-10.98 0.39 -2.03 0.000
2,-10.67 5.08 -1.81 -1.025
3,-11.26 6.51 -1.51 -0.684
4,-7.72 4.35 -0.85 0.000
5,-6.69 2.68 -0.99 0.928
6,-8.14 4.19 -0.58 0.293
7,-8.55 1.18 -1.10 -0.732
8,-12.01 -0.15 -2.66 -1.416
9,-10.61 5.14 -1.77 -0.488
10,-9.08 3.67 -1.34 0.488
11,-9.90 4.31 -1.33 0.830
12,-8.13 3.88 -0.79 0.098
13,-7.04 4.00 -0.74 -0.830
14,-9.37 5.82 -1.14 -0.879
15,-9.69 0.58 -1.98 -0.244
16,-10.56 2.06 -2.30 0.928
17,-11.81 6.34 -1.76 0.244
18,-8.81 2.72 -0.94 -0.488
19,-8.50 2.51 -1.24 -1.416
20,-8.31 4.98 -0.54 -0.488
21,-6.36 3.50 -0.70 0.488
22,-10.28 -1.45 -2.38 0.977
23,-12.29 4.64 -1.87 0.195
24,-10.01 4.84 -1.67 -0.879
25,-10.53 5.13 -1.41 -0.830
26,-6.33 3.12 -0.64 -0.342
27,-5.86 3.27 -0.50 0.732
28,-9.14 3.94 -1.34 0.391
29,-10.72 0.32 -1.82 -0.342
30,-11.16 3.34 -2.04 -1.318
31,-11.62 7.02 -1.54 -0.586
32,-6.42 6.03 -0.59 0.488
33,-7.63 1.02 -1.26 1.074
34,-8.10 2.47 -0.62 0.146
35,-8.23 2.80 -1.15 -0.830
36,-12.12 1.26 -2.36 -1.074
37,-10.74 3.37 -1.91 -0.342
38,-9.03 4.60 -1.41 0.635
39,-9.24 6.80 -1.04 0.488
40,-7.68 2.02 -0.89 -0.146
41,-8.32 1.56 -1.15 -1.221
42,-9.30 5.44 -1.06 -0.684
43,-9.54 0.92 -1.79 0.195
44,-11.82 0.57 -2.49 1.123
45,-11.03 6.57 -1.58 0.146
46,-8.18 5.03 -0.80 -0.781
47,-8.38 4.04 -0.69 -1.270
48,-8.08 2.66 -0.90 -0.439
49,-7.34 4.52 -0.98 0.586
50,-10.90 -0.03 -2.45 0.586
51,-11.76 1.39 -2.21 -0.049
52,-11.05 3.41 -1.97 -1.221
53,-9.38 8.03 -0.83 -0.732
54,-5.79 4.13 -0.38 -0.098
55,-7.34 0.38 -1.06 0.879
56,-9.29 4.00 -1.32 0.293
57,-10.01 2.02 -1.81 -0.635
58,-12.68 1.51 -2.25 -1.367
59,-11.46 3.75 -1.73 -0.488
60,-7.11 6.72 -0.53 0.586
61,-7.58 2.03 -0.94 0.684
62,-7.84 1.12 -0.81 0.049
63,-8.60 3.23 -1.30 -0.977
64,-11.92 4.75 -2.07 -0.781
65,-11.07 3.05 -1.95 -0.098
66,-9.89 3.39 -1.70 0.879
67,-8.41 6.47 -0.90 0.342
68,-6.90 2.34 -0.87 -0.488
69,-9.46 0.12 -1.45 -1.416
70,-9.40 5.65 -1.23 -0.537
71,-8.93 2.83 -1.57 0.439
72,-12.32 2.07 -2.09 0.879
73,-10.89 4.37 -1.42 0.195
74,-8.00 5.44 -0.95 -0.977
75,-9.02 4.11 -0.99 -0.928
76,-7.54 0.90 -0.90 -0.293
77,-7.32 2.70 -1.32 0.684
78,-11.44 4.33 -1.84 0.391
79,-10.44 1.06 -2.04 -0.342
80,-11.42 3.34 -2.22 -1.318
81,-9.96 7.04 -0.96 -0.537
82,-4.59 6.12 -0.07 0.391
83,-8.19 -0.88 -1.42 1.074
84,-9.42 2.70 -1.58 0.146
85,-9.22 1.19 -1.67 -0.928
86,-13.47 1.40 -2.37 -1.172
87,-11.67 2.44 -1.79 -0.391
88,-7.01 6.99 -0.67 0.781
89,-7.01 4.92 -0.77 0.586
90,-7.63 0.06 -1.16 -0.146
91,-8.56 2.21 -1.77 -1.221
92,-11.57 5.46 -2.01 -0.635
93,-10.62 2.56 -2.04 0.195
94,-10.60 2.26 -1.75 1.123
95,-8.43 4.42 -1.01 0.195
96,-6.03 3.67 -0.62 -0.830
97,-9.60 1.63 -1.15 -1.270
98,-9.85 3.86 -1.14 -0.391
99,-8.85 3.43 -1.61 0.586
100,-12.12 1.21 -2.46 0.537
101,-10.72 3.07 -1.65 -0.049
102,-8.48 4.14 -0.87 -1.074
103,-9.10 6.69 -0.49 -0.781
104,-7.45 2.06 -0.68 0.098
105,-8.89 2.11 -1.46 1.025
106,-10.22 4.45 -1.75 0.244
107,-9.97 3.50 -1.92 -0.635
108,-11.94 2.02 -2.78 -1.465
109,-10.49 5.39 -1.40 -0.537
110,-4.86 6.33 -0.13 0.586
111,-8.52 0.09 -0.86 0.732
112,-9.06 0.98 -1.27 0.098
113,-9.80 2.62 -1.70 -0.977
114,-12.98 3.72 -2.33 -0.781
115,-11.03 1.39 -2.07 -0.244
116,-6.99 6.47 -0.95 0.928
117,-7.36 5.24 -0.74 0.342
118,-6.97 -0.12 -0.81 -0.488
119,-9.49 0.95 -1.78 -1.416
120,-11.89 4.29 -1.99 -0.586
121,-10.37 4.73 -1.82 0.537
122,-10.50 3.80 -1.81 0.781
123,-8.59 4.59 -0.95 0.195
124,-5.67 4.32 -0.59 -0.928
125,-9.01 4.44 -0.71 -0.879
126,-9.84 1.97 -1.19 -0.342
127,-10.08 3.26 -1.94 0.732
128,-12.03 3.82 -2.03 0.293
129,-10.03 1.28 -1.69 -0.342
130,-9.18 2.44 -1.37 -1.367
131,-8.39 6.59 -0.64 -0.635
132,-7.08 2.99 -0.76 0.391
133,-8.58 2.75 -1.28 1.074
134,-10.17 3.59 -1.51 0.244
