,0
0,-9.47 3.32 -1.13 0.23 0.08 -9.88 0.000
1,-9.49 3.27 -1.08 0.20 0.13 -9.90 -0.049
2,-9.44 3.30 -1.14 0.23 0.06 -9.89 -0.146
3,-9.43 3.36 -1.11 0.18 0.05 -9.82 -0.098
4,-9.44 3.32 -1.03 0.18 0.02 -9.79 0.000
5,-9.44 3.28 -1.18 0.21 0.05 -9.91 -0.146
6,-9.50 3.35 -1.14 0.22 0.12 -9.81 -0.098
7,-9.47 3.30 -1.10 0.23 0.08 -9.95 -0.098
8,-9.40 3.27 -1.09 0.20 0.10 -9.79 -0.146
9,-9.48 3.33 -1.08 0.23 0.04 -9.78 -0.146
10,-9.45 3.35 -1.17 0.22 0.07 -9.84 -0.049
11,-9.45 3.27 -1.08 0.23 0.07 -9.81 -0.098
12,-9.44 3.29 -1.23 0.22 0.08 -9.83 -0.098
13,-9.46 3.31 -1.07 0.24 0.13 -9.79 -0.049
14,-9.42 3.28 -1.23 0.26 0.16 -9.85 -0.098
15,-9.47 3.30 -1.17 0.26 0.06 -9.78 -0.049
16,-9.46 3.34 -1.03 0.17 0.08 -9.87 -0.049
17,-9.49 3.24 -1.13 0.27 0.04 -9.81 -0.195
18,-9.46 3.29 -1.22 0.22 0.06 -9.76 -0.146
19,-9.49 3.26 -1.13 0.18 0.07 -9.88 -0.098
20,-9.41 3.31 -1.15 0.24 0.06 -9.82 -0.098
21,-9.42 3.29 -1.14 0.25 0.08 -9.88 -0.049
22,-9.44 3.30 -1.17 0.22 0.11 -9.76 -0.146
23,-9.46 3.33 -1.19 0.26 0.08 -9.84 0.000
24,-9.46 3.33 -1.13 0.31 0.10 -9.76 -0.146
25,-9.44 3.32 -1.07 0.22 0.07 -9.79 -0.146
26,-9.43 3.31 -1.06 0.22 0.05 -9.82 -0.098
27,-9.42 3.29 -1.09 0.20 0.01 -9.81 -0.146
28,-9.41 3.31 -1.16 0.19 0.00 -9.83 -0.195
29,-9.47 3.32 -1.13 0.23 0.06 -9.84 -0.146
30,-9.48 3.34 -1.13 0.20 0.06 -9.82 -0.146
31,-9.42 3.31 -1.16 0.23 0.05 -9.76 -0.146
32,-9.43 3.38 -1.17 0.23 0.04 -9.84 -0.146
33,-9.40 3.29 -1.17 0.24 0.09 -9.76 -0.098
34,-9.47 3.29 -1.08 0.22 0.11 -9.82 -0.195
35,-9.46 3.30 -1.13 0.26 0.14 -9.85 -0.098
36,-9.50 3.33 -1.11 0.22 -0.00 -9.85 -0.098
37,-9.43 3.25 -1.09 0.27 0.08 -9.82 -0.146
38,-9.42 3.28 -1.16 0.21 0.13 -9.83 -0.146
39,-9.46 3.31 -1.14 0.25 0.10 -9.82 -0.195
40,-9.41 3.35 -1.16 0.18 0.07 -9.84 -0.098
41,-9.46 3.27 -1.11 0.22 0.15 -9.84 -0.098
42,-9.50 3.35 -1.22 0.23 0.04 -9.87 -0.098
43,-9.47 3.33 -1.15 0.23 0.04 -9.88 -0.098
44,-9.46 3.29 -1.12 0.25 0.09 -9.81 -0.049
45,-9.47 3.32 -1.14 0.28 0.10 -9.89 -0.098
46,-9.49 3.32 -1.14 0.19 0.05 -9.82 -0.098
47,-9.41 3.35 -1.10 0.23 0.02 -9.84 -0.098
48,-9.44 3.33 -1.17 0.17 0.03 -9.79 -0.098
49,-9.46 3.28 -1.14 0.25 0.00 -9.81 -0.098
50,-9.43 3.28 -1.08 0.20 0.06 -9.86 -0.146
51,-9.48 3.37 -1.15 0.20 0.08 -9.78 -0.098
52,-9.47 3.31 -1.15 0.24 0.12 -9.81 -0.146
53,-9.44 3.33 -1.18 0.20 0.13 -9.80 -0.146
54,-9.39 3.30 -1.15 0.23 0.06 -9.86 -0.098
55,-9.51 3.30 -1.12 0.26 0.03 -9.88 -0.098
56,-9.44 3.30 -1.16 0.25 0.07 -9.79 -0.098
57,-9.46 3.29 -1.13 0.26 0.05 -9.88 -0.049
58,-9.45 3.29 -1.17 0.22 0.08 -9.82 -0.244
59,-9.46 3.28 -1.15 0.21 0.06 -9.80 -0.098
60,-9.51 3.32 -1.17 0.20 0.04 -9.84 -0.098
61,-9.47 3.29 -1.11 0.26 0.10 -9.82 -0.098
62,-9.43 3.30 -1.17 0.18 0.09 -9.85 -0.098
63,-9.41 3.29 -1.10 0.21 0.05 -9.80 -0.146
64,-9.45 3.33 -1.13 0.25 0.06 -9.86 -0.098
65,-9.49 3.29 -1.19 0.25 0.05 -9.84 -0.098
66,-9.42 3.29 -1.11 0.19 0.04 -9.79 -0.195
67,-9.46 3.26 -1.15 0.22 0.07 -9.85 -0.049
68,-9.53 3.29 -1.16 0.23 0.03 -9.84 -0.146
69,-9.51 3.32 -1.11 0.21 0.05 -9.83 -0.049
70,-9.48 3.31 -1.24 0.19 0.07 -9.77 -0.098
71,-9.44 3.29 -1.18 0.27 0.10 -9.80 -0.195
72,-9.48 3.30 -1.18 0.18 0.02 -9.82 -0.098
73,-9.46 3.36 -1.20 0.22 0.08 -9.81 -0.195
74,-9.51 3.33 -1.13 0.19 0.08 -9.93 -0.146
75,-9.47 3.32 -1.13 0.14 0.08 -9.83 -0.146
76,-9.45 3.27 -1.01 0.31 0.07 -9.81 -0.098
77,-9.45 3.30 -1.10 0.20 0.08 -9.80 -0.049
78,-9.49 3.31 -1.15 0.23 0.05 -9.80 -0.146
79,-9.44 3.34 -1.12 0.22 0.11 -9.84 -0.098
80,-9.44 3.32 -1.10 0.20 0.13 -9.88 -0.098
81,-9.51 3.34 -1.11 0.20 0.04 -9.84 -0.049
82,-9.45 3.31 -1.14 0.15 0.08 -9.82 0.000
83,-9.42 3.30 -1.13 0.21 0.03 -9.80 -0.098
84,-9.38 3.32 -1.18 0.26 0.04 -9.81 -0.146
85,-9.50 3.30 -1.06 0.26 0.06 -9.77 -0.195
86,-9.44 3.31 -1.12 0.22 0.04 -9.81 0.000
87,-9.40 3.28 -1.17 0.24 0.10 -9.83 -0.098
88,-9.47 3.35 -1.01 0.25 0.06 -9.83 -0.195
89,-9.51 3.29 -1.09 0.23 0.05 -9.75 -0.098
90,-9.49 3.31 -1.12 0.25 0.02 -9.86 -0.049
91,-9.44 3.32 -1.08 0.25 0.10 -9.87 -0.146
92,-9.45 3.27 -1.03 0.24 0.10 -9.75 -0.098
93,-9.51 3.32 -1.15 0.20 0.04 -9.90 -0.098
94,-9.49 3.29 -1.17 0.20 0.02 -9.82 -0.098
95,-9.51 3.31 -1.09 0.24 0.06 -9.84 -0.098
96,-9.40 3.26 -1.16 0.21 0.09 -9.80 -0.098
97,-9.48 3.35 -1.20 0.21 0.09 -9.81 -0.195
98,-9.46 3.34 -1.15 0.23 0.08 -9.75 -0.098
99,-9.47 3.31 -1.24 0.23 0.07 -9.80 -0.049
100,-9.44 3.32 -1.07 0.23 0.04 -9.82 -0.146
101,-9.48 3.30 -1.21 0.26 0.11 -9.86 -0.146
102,-9.40 3.31 -1.09 0.25 0.05 -9.85 -0.146
103,-9.46 3.31 -1.17 0.23 0.02 -9.83 -0.146
104,-9.45 3.30 -1.21 0.21 0.12 -9.85 -0.049
105,-9.43 3.30 -1.16 0.17 0.09 -9.79 -0.098
106,-9.47 3.32 -1.08 0.16 0.10 -9.81 -0.195
107,-9.44 3.29 -1.06 0.22 0.12 -9.77 0.000
108,-9.46 3.29 -1.14 0.26 0.05 -9.87 -0.146
109,-9.52 3.29 -1.12 0.30 0.07 -9.77 -0.146
110,-9.48 3.37 -1.17 0.19 0.06 -9.82 -0.098
111,-9.42 3.31 -1.08 0.28 0.03 -9.83 -0.098
112,-9.46 3.32 -1.16 0.24 0.15 -9.84 -0.049
113,-9.47 3.31 -1.17 0.26 0.10 -9.90 -0.098
114,-9.44 3.34 -1.05 0.26 0.10 -9.89 -0.098
115,-9.43 3.26 -1.06 0.27 0.06 -9.73 -0.098
116,-9.45 3.28 -1.13 0.20 0.06 -9.89 -0.146
117,-9.48 3.36 -1.07 0.28 0.04 -9.89 0.000
118,-9.43 3.28 -1.05 0.24 0.04 -9.87 -0.146
119,-9.47 3.30 -1.09 0.22 0.08 -9.80 -0.098
120,-9.47 3.35 -1.07 0.22 0.07 -9.81 -0.098
121,-9.47 3.32 -1.08 0.24 0.07 -9.88 -0.098
122,-9.44 3.31 -1.11 0.22 0.06 -9.82 -0.098
123,-9.49 3.32 -1.16 0.25 0.04 -9.87 -0.146
124,-9.51 3.26 -1.14 0.29 0.09 -9.73 -0.146
125,-9.47 3.28 -1.13 0.21 0.08 -9.78 -0.195
126,-9.38 3.28 -1.11 0.22 0.08 -9.77 -0.146
127,-9.46 3.27 -1.14 0.24 0.06 -9.90 -0.098
128,-9.46 3.23 -1.08 0.28 0.03 -9.81 -0.098
129,-9.45 3.23 -1.16 0.25 0.01 -9.79 -0.146
130,-9.49 3.30 -1.13 0.22 0.03 -9.87 -0.146
131,-9.40 3.31 -1.18 0.20 0.08 -9.78 -0.049
132,-9.45 3.30 -1.11 0.22 0.03 -9.81 0.000
133,-9.43 3.28 -1.09 0.27 0.05 -9.88 -0.098
134,-9.48 3.31 -1.10 0.22 0.06 -9.83 -0.098
135,-9.40 3.33 -1.09 0.26 0.12 -9.80 -0.098
136,-9.46 3.32 -1.08 0.23 0.10 -9.83 -0.098
137,-9.45 3.29 -1.16 0.24 0.08 -9.85 -0.146
138,-9.46 3.28 -1.09 0.23 0.08 -9.86 -0.049
139,-9.48 3.28 -1.12 0.26 0.04 -9.78 -0.098
140,-9.48 3.28 -1.16 0.27 0.12 -9.82 -0.098
141,-9.50 3.29 -1.20 0.17 0.03 -9.76 -0.098
142,-9.49 3.31 -1.09 0.27 0.07 -9.81 -0.098
143,-9.50 3.33 -1.13 0.24 0.02 -9.88 -0.146
144,-9.46 3.35 -1.15 0.25 0.07 -9.82 0.000
145,-9.46 3.32 -1.10 0.20 0.11 -9.77 -0.049
146,-9.51 3.29 -1.24 0.20 0.04 -9.77 -0.195
147,-9.42 3.27 -1.22 0.23 0.10 -9.80 -0.146
148,-9.40 3.30 -1.17 0.27 0.03 -9.83 -0.098
149,-9.37 3.27 -1.10 0.22 0.09 -9.85 -0.098
150,-9.51 3.27 -1.12 0.19 0.06 -9.76 -0.049
151,-9.44 3.31 -1.18 0.25 0.10 -9.86 -0.098
152,-9.47 3.28 -1.12 0.21 0.03 -9.79 -0.146
153,-9.48 3.30 -1.15 0.23 0.06 -9.86 -0.098
154,-9.42 3.32 -1.19 0.14 0.09 -9.71 -0.098
155,-9.46 3.32 -1.15 0.23 0.04 -9.83 -0.098
156,-9.46 3.29 -1.08 0.22 -0.03 -9.78 -0.049
157,-9.44 3.28 -1.17 0.22 0.07 -9.77 -0.098
158,-9.44 3.29 -1.12 0.25 0.09 -9.85 -0.146
159,-9.50 3.36 -1.12 0.23 0.04 -9.85 -0.146
160,-9.49 3.24 -1.11 0.21 0.14 -9.84 -0.146
161,-9.48 3.26 -1.21 0.22 0.03 -9.88 -0.146
162,-9.50 3.34 -1.14 0.22 0.14 -9.82 -0.049
163,-9.45 3.18 -1.22 0.20 0.12 -9.86 -0.098
164,-9.47 3.33 -1.10 0.22 0.06 -9.95 -0.049
165,-9.42 3.30 -1.12 0.17 0.11 -9.88 -0.098
166,-9.46 3.31 -1.13 0.25 0.07 -9.84 -0.195
167,-9.41 3.30 -1.15 0.26 0.07 -9.89 -0.098
168,-9.44 3.30 -1.18 0.19 0.08 -9.83 -0.098
169,-9.43 3.34 -1.14 0.17 0.06 -9.78 -0.195
170,-9.43 3.30 -1.25 0.26 0.08 -9.81 0.000
171,-9.48 3.29 -1.14 0.21 0.08 -9.81 -0.098
172,-9.42 3.37 -1.08 0.17 0.09 -9.84 -0.098
173,-9.47 3.22 -1.16 0.22 0.12 -9.78 -0.098
174,-9.42 3.31 -1.14 0.28 0.12 -9.81 -0.098
175,-9.43 3.34 -1.21 0.24 0.06 -9.81 -0.195
176,-9.45 3.31 -1.15 0.20 0.09 -9.84 -0.049
177,-9.42 3.31 -1.13 0.20 0.08 -9.78 0.000
178,-9.46 3.33 -1.17 0.24 0.01 -9.83 0.000
179,-9.41 3.31 -1.11 0.19 0.10 -9.86 -0.098
180,-9.44 3.29 -1.13 0.22 0.09 -9.82 -0.146
181,-9.50 3.29 -1.15 0.26 0.06 -9.77 -0.098
182,-9.48 3.30 -1.13 0.25 0.01 -9.80 -0.098
183,-9.49 3.30 -1.12 0.19 0.05 -9.81 -0.049
184,-9.44 3.32 -1.16 0.24 0.03 -9.84 -0.146
185,-9.43 3.33 -1.15 0.15 0.11 -9.84 -0.098
186,-9.43 3.33 -1.16 0.29 0.01 -9.77 -0.098
187,-9.44 3.30 -1.18 0.17 0.11 -9.74 -0.146
188,-9.45 3.32 -1.18 0.27 0.09 -9.79 -0.098
189,-9.48 3.33 -1.15 0.19 0.09 -9.83 -0.049
190,-9.43 3.32 -1.07 0.17 0.07 -9.87 -0.146
191,-9.47 3.32 -1.10 0.27 0.10 -9.89 -0.146
192,-9.58 3.28 -1.21 0.20 0.07 -9.82 -0.098
193,-9.45 3.29 -1.07 0.17 0.11 -9.76 -0.098
194,-9.49 3.30 -1.16 0.23 0.08 -9.86 -0.098
195,-9.45 3.30 -1.17 0.24 0.08 -9.85 -0.146
196,-9.45 3.31 -1.12 0.21 0.00 -9.84 -0.146
197,-9.47 3.25 -1.08 0.22 0.10 -9.87 -0.098
198,-9.39 3.26 -1.13 0.28 0.08 -9.82 -0.195
199,-9.43 3.35 -1.12 0.21 0.08 -9.89 -0.098
200,-9.44 3.32 -1.10 0.17 0.09 -9.81 -0.195
201,-9.45 3.26 -1.06 0.19 0.06 -9.84 -0.098
202,-9.51 3.30 -1.12 0.24 0.11 -9.87 -0.146
203,-9.46 3.26 -1.18 0.23 0.06 -9.80 -0.146
204,-9.44 3.27 -1.14 0.22 0.12 -9.82 -0.146
205,-9.50 3.32 -1.17 0.17 0.06 -9.83 -0.049
206,-9.47 3.32 -1.12 0.23 0.09 -9.90 -0.098
207,-9.42 3.26 -1.11 0.23 0.07 -9.77 -0.146
208,-9.48 3.30 -1.06 0.22 0.06 -9.84 -0.195
209,-9.47 3.29 -1.15 0.22 0.04 -9.82 -0.049
210,-9.48 3.32 -1.09 0.20 0.05 -9.82 -0.146
211,-9.47 3.27 -1.18 0.14 0.09 -9.88 -0.049
212,-9.45 3.29 -1.07 0.19 0.11 -9.81 -0.146
213,-9.43 3.32 -1.06 0.17 0.11 -9.86 -0.146
214,-9.42 3.29 -1.15 0.25 0.06 -9.82 -0.098
215,-9.40 3.25 -1.08 0.23 0.11 -9.83 -0.146
216,-9.42 3.34 -1.17 0.28 0.07 -9.75 -0.098
217,-9.49 3.35 -1.11 0.18 0.03 -9.83 -0.098
218,-9.43 3.29 -1.12 0.29 0.09 -9.83 -0.146
219,-9.46 3.29 -1.09 0.24 0.08 -9.82 -0.049
220,-9.46 3.29 -1.13 0.19 0.06 -9.73 -0.098
221,-9.46 3.29 -1.17 0.22 0.11 -9.82 -0.098
222,-9.45 3.29 -1.22 0.18 0.08 -9.87 -0.146
223,-9.47 3.25 -1.10 0.23 0.06 -9.78 -0.146
224,-9.42 3.29 -1.15 0.25 0.06 -9.84 -0.049
225,-9.43 3.32 -1.14 0.21 0.07 -9.80 -0.146
226,-9.51 3.25 -1.09 0.25 0.06 -9.84 -0.146
227,-9.52 3.27 -1.13 0.22 0.12 -9.81 -0.146
228,-9.40 3.31 -1.10 0.18 0.04 -9.90 -0.146
229,-9.39 3.31 -1.15 0.23 0.00 -9.84 -0.098
230,-9.39 3.29 -1.17 0.25 0.06 -9.77 -0.098
231,-9.53 3.28 -1.08 0.23 0.06 -9.81 -0.049
232,-9.39 3.34 -1.18 0.22 0.06 -9.83 -0.195
233,-9.43 3.25 -1.14 0.25 0.04 -9.77 -0.146
234,-9.47 3.31 -1.18 0.29 0.08 -9.77 0.000
235,-9.44 3.24 -1.11 0.18 0.10 -9.86 -0.098
236,-9.46 3.29 -1.20 0.26 0.08 -9.80 -0.098
237,-9.41 3.26 -1.13 0.22 0.08 -9.80 -0.098
238,-9.45 3.31 -1.14 0.23 0.07 -9.84 0.000
239,-9.46 3.29 -1.12 0.12 0.05 -9.77 -0.098
240,-9.49 3.30 -1.13 0.20 0.09 -9.79 -0.098
241,-9.43 3.32 -1.11 0.22 0.12 -9.83 -0.049
242,-9.48 3.28 -1.13 0.21 0.07 -9.87 -0.049
243,-9.43 3.30 -1.14 0.19 0.06 -9.79 -0.146
244,-9.40 3.24 -1.18 0.24 0.03 -9.82 -0.098
245,-9.43 3.31 -1.08 0.22 0.07 -9.83 -0.146
246,-9.44 3.26 -1.22 0.24 0.06 -9.84 -0.098
247,-9.47 3.30 -1.20 0.20 0.14 -9.84 -0.195
248,-9.43 3.30 -1.15 0.17 0.06 -9.80 -0.098
249,-9.38 3.23 -1.15 0.25 0.10 -9.81 -0.146
250,-9.46 3.33 -1.13 0.23 0.09 -9.86 -0.098
251,-9.39 3.35 -1.12 0.24 0.11 -9.81 -0.098
252,-9.48 3.27 -1.17 0.18 0.06 -9.82 -0.146
253,-9.44 3.29 -1.19 0.18 0.06 -9.77 -0.146
254,-9.49 3.30 -1.07 0.24 0.06 -9.87 -0.049
255,-9.43 3.26 -1.08 0.23 0.09 -9.71 -0.098
256,-9.43 3.36 -1.10 0.24 0.10 -9.77 -0.098
257,-9.43 3.32 -1.07 0.23 0.05 -9.82 -0.049
258,-9.38 3.28 -1.11 0.21 0.14 -9.85 -0.146
259,-9.50 3.28 -1.13 0.19 0.08 -9.84 -0.098
260,-9.49 3.26 -1.12 0.23 0.09 -9.84 -0.098
261,-9.44 3.36 -1.26 0.19 0.04 -9.81 -0.098
262,-9.45 3.32 -1.21 0.24 0.07 -9.79 -0.146
263,-9.43 3.26 -1.19 0.21 0.11 -9.78 -0.098
264,-9.43 3.28 -1.11 0.21 0.04 -9.85 -0.098
265,-9.49 3.28 -1.18 0.29 0.02 -9.83 -0.049
266,-9.43 3.30 -1.13 0.22 0.06 -9.79 -0.098
267,-9.47 3.34 -1.09 0.20 0.09 -9.89 -0.098
268,-9.52 3.32 -1.06 0.23 0.03 -9.85 -0.049
269,-9.40 3.32 -1.13 0.23 0.09 -9.81 -0.098
270,-9.48 3.30 -1.16 0.19 0.10 -9.88 -0.049
271,-9.44 3.34 -1.18 0.28 0.02 -9.83 -0.146
272,-9.46 3.30 -1.18 0.17 0.07 -9.83 -0.098
273,-9.45 3.31 -1.15 0.22 0.06 -9.84 0.000
274,-9.46 3.29 -1.19 0.27 0.06 -9.76 0.000
275,-9.43 3.25 -1.14 0.22 0.10 -9.90 -0.146
276,-9.50 3.31 -1.16 0.23 0.12 -9.79 -0.098
277,-9.49 3.33 -1.10 0.23 0.10 -9.83 -0.146
278,-9.46 3.29 -1.13 0.22 0.09 -9.83 -0.098
279,-9.43 3.28 -1.14 0.30 0.10 -9.71 -0.146
280,-9.42 3.31 -1.14 0.22 0.07 -9.80 -0.146
281,-9.45 3.35 -1.16 0.27 0.09 -9.83 -0.098
282,-9.48 3.26 -1.11 0.21 0.04 -9.83 -0.098
283,-9.46 3.32 -1.12 0.15 0.03 -9.90 -0.098
284,-9.43 3.29 -1.14 0.21 0.09 -9.84 -0.146
285,-9.40 3.31 -1.11 0.21 0.11 -9.78 -0.098
286,-9.50 3.24 -1.17 0.22 0.06 -9.76 -0.098
287,-9.42 3.32 -1.12 0.21 0.10 -9.93 -0.146
288,-9.42 3.35 -1.09 0.24 0.06 -9.81 -0.146
289,-9.48 3.24 -1.20 0.21 0.08 -9.77 0.000
290,-9.51 3.31 -1.03 0.22 0.10 -9.89 -0.049
291,-9.47 3.29 -1.14 0.25 0.05 -9.86 -0.098
292,-9.43 3.31 -1.15 0.19 0.04 -9.76 -0.049
293,-9.44 3.30 -1.18 0.21 0.11 -9.83 -0.146
