,0
0,-10.53 3.55 -1.15 0.16 -0.85 -8.61 0.781
1,-7.28 2.37 -1.16 -0.35 -0.01 -11.35 0.244
2,-9.14 5.11 -0.95 -0.63 0.32 -9.34 -0.488
3,-10.87 3.41 -1.00 1.60 0.02 -9.26 -1.562
4,-8.20 1.62 -1.19 0.22 0.26 -10.80 -0.488
5,-8.70 3.31 -1.69 -1.10 -0.14 -8.69 0.488
6,-12.25 3.62 -1.56 0.92 0.01 -11.05 1.074
7,-9.42 2.68 -1.25 -0.12 -0.02 -10.44 0.195
8,-7.25 3.06 -1.37 -0.00 -0.40 -9.03 -0.977
9,-10.66 5.12 -1.14 1.86 0.72 -10.83 -0.977
10,-9.66 3.46 -0.75 0.23 0.97 -9.25 -0.439
11,-7.61 1.84 -1.37 0.18 -0.62 -8.62 0.732
12,-9.95 4.39 -1.30 0.42 0.15 -12.12 0.342
13,-11.67 3.17 -1.32 -0.62 0.15 -9.35 -0.244
14,-8.29 1.95 -1.13 0.91 -0.40 -8.76 -1.416
15,-8.04 4.10 -1.22 0.28 0.27 -10.95 -0.635
16,-11.22 3.96 -0.94 -0.89 0.11 -8.80 0.391
17,-8.81 2.33 -0.78 0.80 -0.20 -9.32 1.123
18,-7.62 2.24 -1.43 -0.17 0.13 -10.37 0.293
19,-11.52 4.49 -1.43 -0.61 -0.22 -9.20 -0.928
20,-10.49 3.30 -1.23 2.04 0.62 -10.89 -1.172
21,-7.47 2.41 -1.21 0.24 0.81 -9.39 -0.537
22,-9.22 5.29 -0.93 -0.36 -0.58 -8.64 0.732
23,-10.68 3.55 -0.89 0.32 0.23 -11.90 0.439
24,-8.10 1.59 -1.21 -0.21 0.42 -9.73 -0.049
25,-8.48 3.24 -1.36 0.78 -0.48 -8.75 -1.318
26,-12.13 3.44 -1.52 0.23 0.22 -10.88 -0.586
27,-9.38 2.49 -1.10 -0.60 0.32 -8.77 0.195
28,-7.54 2.96 -1.48 0.76 -0.37 -9.36 1.172
29,-10.65 5.15 -1.01 -0.58 -0.14 -11.28 0.244
30,-9.62 3.69 -0.75 -0.90 -0.32 -9.20 -0.879
31,-7.30 1.94 -1.25 1.72 0.59 -10.89 -1.416
32,-10.01 4.43 -1.28 0.35 0.64 -9.96 -0.537
33,-11.72 3.09 -1.45 -0.29 -0.46 -8.72 0.635
34,-8.33 1.84 -1.22 1.00 0.20 -10.95 0.635
35,-8.25 4.15 -1.35 -0.35 0.32 -9.87 -0.049
36,-11.35 4.00 -1.06 0.72 -0.50 -8.91 -1.221
37,-8.64 2.52 -0.83 1.24 0.58 -11.82 -0.732
38,-7.47 2.43 -1.39 -0.45 0.58 -8.80 0.000
39,-11.56 4.35 -1.34 0.53 -0.50 -8.55 0.977
40,-10.49 3.25 -1.28 -0.48 -0.08 -11.24 0.293
41,-7.47 2.26 -1.25 -0.81 -0.42 -9.36 -0.830
42,-9.53 5.37 -0.99 1.51 -0.10 -9.51 -1.562
43,-10.60 3.76 -0.95 0.44 0.71 -10.04 -0.635
44,-7.69 1.66 -0.98 -0.72 -0.07 -8.67 0.586
45,-8.52 3.47 -1.37 1.10 0.26 -10.90 0.684
46,-12.15 3.43 -1.52 -0.28 0.32 -9.76 0.098
47,-9.29 2.21 -1.19 -0.18 -0.62 -9.00 -1.074
48,-7.64 2.91 -1.40 1.18 0.48 -11.92 -0.879
49,-10.78 4.90 -0.95 0.42 0.88 -9.27 -0.244
50,-9.51 3.61 -0.71 0.50 -0.52 -8.38 0.830
51,-7.10 1.99 -1.10 -0.56 0.01 -11.04 0.244
52,-10.06 4.55 -1.32 -1.09 0.18 -9.29 -0.586
