,0
0,4.0
1,-668.0
2,-412.0
3,1712.0
4,-1132.0
5,652.0
6,416.0
7,-256.0
8,2900.0
9,-1248.0
10,772.0
11,-508.0
12,-864.0
13,180.0
14,912.0
15,-1092.0
16,1100.0
17,268.0
18,-264.0
19,2876.0
20,-1664.0
21,1072.0
22,-624.0
23,-628.0
24,2184.0
25,-764.0
26,72.0
27,1036.0
28,-196.0
29,464.0
30,2008.0
31,-1232.0
32,988.0
33,-764.0
34,-124.0
35,1612.0
36,-1204.0
37,544.0
38,288.0
39,-416.0
40,2872.0
41,-1264.0
42,1484.0
43,-748.0
44,-1172.0
45,492.0
46,1196.0
47,-1052.0
48,960.0
49,304.0
50,-72.0
51,2400.0
52,-1424.0
53,1672.0
54,-764.0
55,-900.0
56,2336.0
57,-1068.0
58,556.0
59,504.0
60,-492.0
61,796.0
62,1208.0
63,-328.0
64,976.0
65,-1060.0
66,-520.0
67,2004.0
68,-1508.0
69,1192.0
70,264.0
71,-500.0
72,2148.0
73,-1592.0
74,1776.0
75,-808.0
76,-1376.0
77,2640.0
78,-1216.0
79,168.0
80,632.0
81,156.0
82,336.0
83,1412.0
84,-740.0
85,1896.0
86,-1160.0
87,-960.0
88,2868.0
89,-1512.0
90,1212.0
91,616.0
92,-624.0
93,1976.0
94,-1464.0
95,1888.0
96,-336.0
97,-1628.0
98,2288.0
99,-804.0
100,-1564.0
101,1164.0
102,384.0
103,-344.0
104,1484.0
105,-1184.0
106,2176.0
107,-952.0
108,-1556.0
109,2740.0
110,-1624.0
111,780.0
112,756.0
113,-692.0
114,1472.0
115,-1420.0
116,1504.0
117,320.0
118,-1856.0
119,1984.0
120,2612.0
121,-1568.0
122,1112.0
123,624.0
124,-556.0
125,1316.0
126,-1440.0
127,2008.0
128,-508.0
129,-1912.0
130,2700.0
131,-1080.0
132,760.0
133,716.0
134,-616.0
135,924.0
136,-692.0
137,556.0
138,2656.0
139,-1424.0
140,-1552.0
141,3168.0
142,-1200.0
143,688.0
144,664.0
145,-828.0
146,1232.0
147,-1124.0
148,1400.0
149,368.0
150,-2104.0
151,2136.0
152,-988.0
153,744.0
154,796.0
155,-240.0
156,1044.0
157,1172.0
158,-1336.0
159,2348.0
160,-972.0
161,-2084.0
162,2784.0
163,-1480.0
164,736.0
165,796.0
166,-784.0
167,1408.0
168,-644.0
169,536.0
170,1452.0
171,-2148.0
172,1608.0
173,-208.0
174,732.0
175,292.0
176,732.0
177,-840.0
178,1756.0
179,-1104.0
180,1724.0
181,36.0
182,-2052.0
183,2692.0
184,-1208.0
185,956.0
186,588.0
187,-556.0
188,1492.0
189,-4.0
190,-500.0
191,2596.0
192,-1264.0
193,-1900.0
194,2596.0
195,-1436.0
196,372.0
197,616.0
198,-1012.0
199,1864.0
200,-900.0
201,1024.0
202,792.0
203,-1988.0
204,2288.0
205,-1096.0
206,720.0
207,400.0
208,-592.0
209,1236.0
210,1888.0
211,-1352.0
212,2484.0
213,-620.0
214,-1924.0
215,2820.0
216,-1600.0
217,380.0
218,640.0
219,-1068.0
