,0
0,-8.32 1.18 -0.82 -1.074
1,-9.54 5.57 -0.67 -0.586
2,-8.76 1.69 -1.49 0.049
3,-10.09 -0.24 -2.36 1.172
4,-11.71 6.05 -1.75 0.293
5,-7.56 6.17 -0.80 -0.684
6,-8.39 4.09 -0.84 -1.221
7,-9.02 1.33 -0.72 -0.439
8,-6.57 3.20 -0.73 0.635
9,-11.51 1.93 -2.45 0.684
10,-11.18 2.04 -2.00 0.098
11,-9.68 4.09 -1.67 -0.977
12,-9.23 9.32 -0.35 -0.635
13,-6.67 3.55 -0.41 -0.049
14,-8.36 -1.55 -1.25 0.977
15,-11.10 2.84 -1.69 0.391
16,-10.64 0.67 -1.98 -0.586
17,-10.83 3.28 -2.30 -1.416
18,-10.63 3.72 -1.29 -0.488
19,-6.01 6.78 -0.25 0.537
20,-8.65 2.75 -0.67 0.781
21,-9.34 1.71 -1.01 0.049
22,-9.68 1.65 -2.04 -0.928
23,-11.80 6.89 -1.91 -0.732
24,-9.69 2.93 -1.82 -0.146
25,-8.44 2.12 -1.47 0.879
26,-8.77 7.74 -0.41 0.391
27,-7.18 2.63 -0.15 -0.586
28,-9.99 1.94 -1.51 -1.367
29,-11.49 3.20 -2.00 -0.586
30,-8.70 4.37 -1.92 0.488
31,-10.08 3.17 -2.12 0.928
32,-10.08 2.54 -1.29 0.195
33,-6.93 2.97 -0.58 -0.879
34,-9.45 5.71 -0.53 -0.781
35,-8.79 1.22 -1.08 -0.293
36,-8.62 1.31 -1.82 0.732
37,-11.92 6.49 -1.92 0.391
38,-8.93 4.02 -1.44 -0.293
39,-9.23 2.86 -1.45 -1.367
40,-8.90 4.11 -0.54 -0.537
41,-6.61 2.87 -0.37 0.488
42,-9.97 0.50 -1.99 1.074
43,-11.75 0.66 -2.49 0.293
44,-9.12 4.82 -1.62 -0.781
45,-10.96 8.58 -1.21 -0.977
46,-8.84 4.12 -0.78 -0.391
47,-5.86 1.63 -0.61 0.781
48,-9.70 4.78 -0.92 0.391
49,-10.31 -0.34 -1.89 -0.098
50,-11.35 0.18 -2.58 -1.221
51,-10.87 8.97 -1.45 -0.488
52,-7.53 6.47 -0.65 0.342
53,-8.14 3.07 -0.98 1.074
54,-9.27 2.39 -0.93 0.293
55,-7.88 2.34 -1.10 -0.732
56,-11.49 0.12 -2.29 -1.025
57,-11.59 3.32 -2.18 -0.391
58,-8.25 3.34 -1.67 0.684
59,-8.95 8.03 -0.63 0.537
60,-7.21 2.30 -0.30 -0.098
61,-8.20 0.60 -0.78 -1.074
62,-10.88 5.16 -1.25 -0.635
63,-9.15 2.82 -1.76 0.098
64,-10.07 1.24 -2.38 1.123
65,-11.39 3.40 -1.84 0.342
66,-6.65 5.01 -0.53 -0.684
67,-8.91 3.67 -0.60 -1.270
68,-9.47 1.88 -0.71 -0.391
69,-7.18 2.63 -0.97 0.684
70,-11.47 4.40 -2.05 0.586
71,-10.40 2.11 -2.23 0.049
72,-9.00 3.02 -1.67 -1.025
73,-9.71 7.81 -0.59 -0.732
74,-6.77 3.34 -0.32 0.049
75,-8.37 0.18 -1.15 1.123
76,-10.74 4.08 -1.45 0.293
77,-9.50 1.87 -1.91 -0.684
78,-11.29 4.15 -2.10 -1.318
79,-11.66 4.91 -1.38 -0.488
80,-5.11 6.25 0.01 0.586
81,-8.79 3.78 -0.56 0.684
82,-9.52 0.92 -1.25 0.098
83,-10.08 0.07 -2.32 -1.074
84,-12.09 5.86 -2.07 -0.732
85,-9.99 2.90 -1.65 -0.049
86,-8.30 2.63 -1.37 0.977
87,-8.82 5.97 -0.46 0.342
88,-6.68 3.48 -0.14 -0.488
89,-9.66 -1.29 -1.89 -1.416
90,-12.30 3.29 -2.08 -0.635
91,-9.00 4.87 -1.61 0.635
92,-9.33 5.32 -1.54 0.928
93,-8.61 2.83 -0.84 0.049
94,-6.19 3.48 -0.41 -0.879
95,-9.75 6.09 -0.53 -0.830
96,-10.68 0.76 -1.60 -0.293
97,-9.62 1.49 -2.17 0.830
98,-11.04 6.89 -1.75 0.342
99,-8.74 3.26 -1.34 -0.293
100,-8.48 2.28 -1.08 -1.367
101,-9.72 5.19 -0.39 -0.586
102,-7.31 3.82 -0.45 0.439
103,-10.11 1.99 -1.86 1.123
104,-11.70 2.73 -2.14 0.195
105,-9.10 3.64 -1.82 -0.830
106,-10.60 8.26 -1.25 -0.977
107,-8.72 3.49 -0.81 -0.391
108,-6.92 0.76 -0.60 0.781
109,-9.41 5.18 -0.71 0.488
110,-9.62 0.02 -1.91 -0.098
111,-10.15 1.02 -2.34 -1.270
112,-11.88 6.80 -1.42 -0.586
113,-6.86 7.34 -0.48 0.342
114,-7.27 2.51 -0.86 1.270
115,-9.16 2.10 -0.82 0.195
116,-7.82 2.43 -1.10 -0.732
117,-12.25 0.06 -2.74 -1.025
118,-11.34 3.45 -2.11 -0.391
119,-8.14 5.99 -1.24 0.732
120,-8.36 9.20 -0.11 0.537
121,-7.05 1.65 -0.29 0.000
122,-7.93 0.61 -0.97 -1.123
123,-11.44 4.23 -1.62 -0.684
124,-10.73 1.27 -2.06 0.098
125,-10.45 2.09 -2.30 1.270
126,-10.30 3.74 -1.38 0.342
127,-5.71 5.96 -0.19 -0.732
128,-9.05 2.74 -0.61 -1.221
129,-10.68 1.88 -0.98 -0.342
130,-8.95 2.82 -1.87 0.684
131,-11.07 6.80 -1.88 0.635
132,-10.12 1.91 -1.94 0.098
133,-8.29 2.13 -1.43 -1.074
134,-9.17 7.75 -0.33 -0.537
135,-7.66 2.85 -0.26 0.146
136,-9.50 1.03 -1.64 1.074
137,-11.01 3.96 -1.82 0.391
138,-8.78 4.15 -1.86 -0.684
139,-10.55 2.25 -2.33 -1.318
140,-10.66 3.43 -1.28 -0.439
141,-6.05 4.15 -0.27 0.635
142,-8.88 3.67 -0.56 0.781
143,-9.41 0.31 -1.29 0.049
144,-8.99 1.49 -1.84 -0.977
145,-11.71 7.66 -1.79 -0.684
146,-9.14 4.67 -1.26 -0.049
147,-7.78 3.55 -1.06 0.977
148,-8.76 3.69 -0.48 0.439
149,-6.85 2.93 -0.49 -0.488
150,-10.84 -1.88 -2.52 -1.367
151,-12.17 3.71 -2.23 -0.488
152,-9.15 5.02 -1.58 0.586
153,-9.43 7.25 -0.94 0.830
154,-8.17 4.08 -0.69 0.244
155,-6.85 0.98 -0.61 -0.879
156,-10.49 4.60 -1.25 -0.781
157,-11.34 0.03 -1.98 -0.049
158,-9.90 2.82 -2.20 0.781
159,-10.82 7.65 -1.32 0.391
160,-7.25 5.30 -0.65 -0.391
161,-8.09 0.38 -1.03 -1.318
162,-9.80 4.52 -0.69 -0.537
163,-8.81 2.85 -1.20 0.488
164,-11.08 0.08 -2.44 1.123
165,-10.95 3.96 -1.97 0.293
166,-7.87 3.96 -1.50 -0.830
167,-9.16 6.43 -0.79 -0.879
168,-8.25 1.87 -0.53 -0.244
169,-7.66 2.33 -0.65 0.732
170,-10.73 5.39 -1.47 0.488
171,-9.05 2.11 -1.78 -0.244
172,-9.94 1.49 -2.47 -1.221
173,-11.72 4.75 -1.59 -0.586
174,-7.24 5.40 -0.34 0.391
175,-8.32 1.72 -0.71 1.172
176,-9.55 1.98 -0.91 0.293
177,-7.56 2.20 -1.23 -0.781
178,-12.35 2.77 -2.38 -0.977
179,-11.62 3.80 -2.02 -0.391
180,-7.96 5.27 -1.25 0.684
181,-8.73 8.39 -0.28 0.586
182,-7.63 1.18 -0.52 0.000
183,-7.88 0.11 -1.45 -1.025
184,-11.88 4.19 -1.95 -0.537
185,-10.34 3.29 -1.87 0.244
186,-10.43 3.88 -1.93 1.123
187,-9.91 6.82 -0.81 0.293
188,-4.88 4.69 0.09 -0.781
189,-9.09 -1.15 -1.14 -1.172
190,-11.16 1.13 -1.72 -0.488
191,-9.77 2.46 -2.13 0.684
192,-10.97 6.41 -1.94 0.586
193,-9.99 3.40 -1.46 0.098
194,-7.26 2.14 -1.21 -1.025
195,-8.89 4.88 -0.43 -0.586
196,-8.56 2.45 -0.71 0.049
197,-9.92 -0.05 -2.06 1.025
198,-11.56 5.04 -1.88 0.293
199,-8.95 4.03 -1.61 -0.732
200,-9.23 3.99 -1.48 -1.270
201,-9.06 2.35 -0.74 -0.488
202,-6.72 3.59 -0.18 0.635
203,-9.94 5.26 -0.91 0.684
204,-10.82 0.98 -1.81 0.000
205,-8.85 2.49 -1.97 -0.879
206,-11.35 6.88 -1.58 -0.732
207,-9.52 3.23 -1.42 -0.049
208,-7.97 2.40 -0.93 0.928
209,-9.22 5.72 -0.30 0.391
210,-7.27 2.84 -0.61 -0.488
211,-10.90 -0.50 -2.48 -1.367
212,-12.25 4.95 -2.21 -0.488
213,-8.94 5.00 -1.49 0.537
214,-9.53 4.95 -1.23 0.879
215,-8.21 2.72 -0.69 0.146
216,-7.04 0.88 -0.81 -0.879
217,-9.90 3.24 -1.43 -0.830
218,-11.22 -0.15 -2.11 -0.244
219,-9.55 4.15 -1.93 0.830
220,-11.12 8.13 -1.11 0.391
221,-5.94 6.85 -0.05 -0.342
222,-7.03 -0.67 -0.84 -1.416
223,-9.93 3.08 -1.02 -0.586
224,-9.78 1.41 -1.75 0.439
225,-11.77 0.91 -2.61 1.123
226,-11.03 3.09 -1.91 0.244
227,-7.37 6.64 -0.69 -0.830
228,-8.15 6.59 -0.45 -0.928
229,-8.83 0.24 -0.81 -0.293
230,-8.73 1.32 -1.31 0.684
231,-11.36 5.28 -1.73 0.537
232,-10.27 2.58 -2.06 -0.146
233,-9.44 2.24 -2.03 -1.172
234,-10.01 6.74 -1.11 -0.537
235,-6.34 4.57 -0.20 0.342
236,-9.40 3.48 -0.84 1.172
237,-10.89 2.42 -1.38 0.342
238,-8.23 2.88 -1.62 -0.879
239,-11.21 2.20 -2.40 -0.977
240,-11.22 1.28 -1.97 -0.342
241,-7.90 3.17 -1.10 0.635
242,-9.11 7.12 -0.21 0.586
243,-7.55 2.32 -0.33 -0.049
244,-9.11 -0.17 -2.00 -1.172
245,-11.68 4.57 -2.13 -0.586
246,-9.42 3.95 -1.79 0.146
247,-10.25 2.86 -2.04 1.172
248,-9.73 5.27 -0.97 0.293
249,-5.71 3.72 -0.28 -0.830
250,-8.71 2.01 -0.89 -1.221
251,-10.44 -0.03 -1.81 -0.488
252,-9.67 2.57 -1.91 0.635
253,-11.31 8.04 -1.73 0.586
254,-8.65 5.11 -0.89 0.049
255,-6.17 3.87 -0.63 -1.074
256,-9.00 3.95 -0.57 -0.684
257,-8.57 1.17 -1.03 0.049
258,-11.27 -1.73 -2.67 1.025
259,-11.36 6.19 -1.87 0.244
260,-8.87 4.85 -1.34 -0.684
261,-9.10 5.06 -1.17 -1.270
262,-8.54 3.32 -0.58 -0.537
263,-7.14 2.25 -0.36 0.586
264,-11.05 4.95 -1.36 0.732
265,-11.20 0.30 -2.22 0.098
266,-9.10 2.97 -1.99 -0.977
267,-10.39 7.34 -1.34 -0.781
268,-7.67 4.24 -0.78 0.000
269,-8.53 0.62 -1.09 1.025
270,-10.10 5.46 -0.57 0.342
271,-7.95 3.10 -1.00 -0.586
272,-10.32 -0.21 -2.68 -1.416
273,-11.39 4.03 -2.07 -0.488
274,-8.27 4.61 -1.33 0.537
275,-9.43 5.88 -0.79 0.879
276,-8.30 1.98 -0.63 0.244
277,-6.83 2.58 -0.65 -0.879
278,-10.47 4.59 -1.44 -0.781
279,-10.07 0.61 -2.02 -0.244
280,-9.99 2.67 -2.14 0.928
281,-11.46 6.90 -1.50 0.342
282,-6.94 5.66 -0.46 -0.488
283,-8.11 -0.11 -1.03 -1.367
284,-9.50 1.80 -1.02 -0.439
285,-8.66 1.62 -1.56 0.488
286,-12.55 2.53 -2.34 0.977
287,-11.47 4.82 -1.69 0.195
288,-6.98 6.61 -0.66 -0.830
289,-8.35 6.56 -0.43 -0.879
290,-8.31 0.46 -0.73 -0.293
291,-8.96 -0.22 -1.76 0.781
292,-11.99 4.31 -2.03 0.537
293,-10.03 3.85 -1.89 -0.293
294,-9.73 2.97 -1.81 -1.416
295,-9.27 7.26 -0.74 -0.586
296,-5.43 3.84 -0.09 0.488
297,-9.49 -0.39 -1.24 1.172
298,-11.52 1.93 -1.65 0.293
299,-8.81 3.21 -1.76 -0.830
300,-10.76 4.64 -1.91 -0.977
301,-9.84 2.01 -1.63 -0.342
302,-7.24 2.01 -0.91 0.732
303,-9.55 6.33 -0.41 0.488
304,-8.42 2.66 -0.88 -0.049
305,-8.74 0.75 -1.79 -1.123
306,-11.49 5.24 -1.97 -0.488
307,-9.42 2.88 -1.86 0.195
308,-9.81 3.64 -1.71 1.221
309,-9.54 3.27 -0.92 0.342
310,-6.16 4.66 -0.04 -0.732
311,-9.32 3.91 -0.86 -1.123
312,-10.49 1.40 -1.61 -0.391
313,-9.11 2.66 -1.96 0.635
314,-11.71 8.20 -1.53 0.635
315,-9.93 3.18 -1.35 0.000
316,-6.80 2.99 -0.87 -1.025
317,-9.22 5.08 -0.49 -0.635
318,-7.51 1.02 -1.00 0.049
319,-11.54 -2.02 -2.65 1.074
320,-12.56 7.42 -1.78 0.244
321,-8.37 5.87 -1.11 -0.684
322,-8.86 3.52 -1.30 -1.270
323,-8.45 2.12 -0.68 -0.488
324,-6.80 2.11 -0.72 0.635
325,-11.06 1.52 -1.82 0.684
326,-11.55 0.18 -2.38 0.049
327,-8.93 5.43 -1.74 -1.074
328,-10.54 8.87 -1.04 -0.635
329,-6.28 4.90 -0.50 -0.098
330,-7.03 -0.39 -1.13 1.025
331,-10.62 4.56 -0.92 0.244
332,-9.75 1.52 -1.51 -0.586
333,-10.98 0.56 -2.37 -1.367
334,-11.01 3.69 -1.73 -0.439
335,-7.32 5.36 -0.91 0.488
336,-8.78 5.83 -0.80 0.684
337,-8.88 1.83 -0.80 0.195
338,-7.69 2.56 -1.02 -0.928
339,-10.88 5.37 -1.65 -0.732
340,-10.58 1.13 -2.17 -0.098
341,-9.68 1.55 -2.14 0.977
342,-11.19 4.83 -1.37 0.342
343,-6.76 5.15 -0.21 -0.488
344,-8.54 1.27 -0.79 -1.514
345,-9.88 3.93 -0.85 -0.537
346,-7.94 1.86 -1.49 0.537
347,-12.24 4.04 -1.98 0.879
348,-11.92 2.82 -2.02 0.098
349,-7.22 5.28 -1.02 -0.830
350,-8.53 6.72 -0.65 -0.879
351,-7.63 1.36 -0.59 -0.244
352,-8.60 -0.87 -1.90 0.781
353,-12.43 4.52 -2.07 0.439
354,-10.06 3.90 -1.74 -0.342
355,-9.84 2.97 -1.99 -1.465
356,-9.17 6.76 -0.54 -0.537
357,-5.25 3.38 -0.11 0.537
358,-9.37 -0.28 -1.22 1.025
359,-11.43 1.11 -1.83 0.146
360,-9.36 3.15 -1.64 -0.879
361,-11.01 6.47 -1.77 -0.928
362,-9.66 3.63 -1.31 -0.293
363,-6.05 4.27 -0.76 0.684
364,-9.14 5.33 -0.57 0.391
365,-9.37 1.33 -0.96 -0.195
366,-9.82 0.15 -2.18 -1.221
367,-11.64 5.32 -1.73 -0.635
368,-9.07 3.64 -1.47 0.293
369,-9.03 3.85 -1.47 1.123
370,-9.74 4.36 -0.89 0.244
371,-6.76 3.74 -0.46 -0.830
372,-9.74 5.14 -1.01 -1.172
373,-10.51 0.91 -1.72 -0.439
374,-9.06 2.21 -2.05 0.684
375,-11.41 6.06 -1.94 0.488
376,-9.51 3.38 -1.13 -0.049
377,-7.48 2.65 -0.97 -1.123
378,-9.32 5.44 -0.63 -0.635
379,-6.98 2.40 -0.69 0.195
380,-9.30 -1.02 -2.05 1.123
381,-12.52 4.95 -2.01 0.293
382,-9.07 5.05 -1.57 -0.732
383,-10.19 5.07 -1.41 -1.172
384,-7.59 2.95 -0.61 -0.439
385,-5.39 2.71 -0.33 0.586
386,-10.49 3.46 -1.46 0.635
387,-11.18 -0.36 -2.14 0.098
388,-9.41 4.20 -1.66 -1.074
389,-11.49 7.71 -1.11 -0.684
390,-8.18 4.91 -0.65 0.000
391,-7.17 -0.09 -1.04 0.928
392,-9.73 3.45 -0.96 0.342
393,-8.98 1.61 -1.35 -0.537
394,-11.90 0.55 -2.37 -1.416
395,-11.73 6.48 -1.79 -0.537
396,-7.27 5.49 -1.08 0.537
397,-8.77 7.16 -0.62 0.732
398,-8.83 0.74 -0.89 0.049
399,-7.78 1.88 -0.87 -0.928
400,-10.46 5.02 -1.47 -0.684
